id,tconst,X,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,avgRV
82,tt0172495,166838,Gladiator,Gladiator,2000,"Action,Adventure,Drama",8.5,1098315,7.74E-06
6,tt0120737,118005,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Drama,Fantasy",8.8,1373159,6.41E-06
17,tt0167261,161899,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.7,1224753,7.10E-06
5,tt0167260,161898,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",8.9,1352979,6.58E-06
104,tt0338013,324553,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",8.3,748205,1.11E-05
105,tt0372784,358060,Batman Begins,Batman Begins,2005,"Action,Adventure,Thriller",8.3,1092342,7.60E-06
91,tt0407887,391925,The Departed,The Departed,2006,"Crime,Drama,Thriller",8.5,977711,8.69E-06
203,tt0477348,459603,No Country for Old Men,No Country for Old Men,2007,"Crime,Drama,Thriller",8.1,691466,1.17E-05
80,tt0468569,451072,The Dark Knight,The Dark Knight,2008,"Action,Crime,Drama",9,1868732,4.82E-06
3,tt0361748,347421,Inglourious Basterds,Inglourious Basterds,2009,"Adventure,Drama,War",8.3,1007142,8.24E-06
350,tt1375666,1329556,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1657391,5.31E-06
78,tt1201607,1162911,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Drama,Fantasy",8.1,620395,1.31E-05
81,tt1345836,1300813,The Dark Knight Rises,The Dark Knight Rises,2012,"Action,Thriller",8.4,1272095,6.60E-06
24,tt0993846,963927,The Wolf of Wall Street,The Wolf of Wall Street,2013,"Biography,Comedy,Crime",8.2,914806,8.96E-06
11,tt0816692,792471,Interstellar,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1124329,7.65E-06
194,tt2488496,2334543,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Fantasy",8,715615,1.12E-05
33,tt1431045,1383122,Deadpool,Deadpool,2016,"Action,Adventure,Comedy",8,689072,1.16E-05
15,tt3315342,2682350,Logan,Logan,2017,"Action,Drama,Sci-Fi",8.1,425046,1.91E-05
